People Media Colombia Country > Region > City Report -- Geo 25-1-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 2/24/2020 to 2/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Date,Campaign ID,Campaign Name,Start Date,End Date,Country,Region,City,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Guarne,11,0,0.00%,$0.17 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2,2,1,1,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Guatape,1,0,0.00%,$0.13 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Itaguei,147,1,0.68%,$0.24 ,$0.04 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.03 ,$0.00 ,$0.04 ,8,2,2,2,1,12.50%,$0.04 ,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Itagui,10,0,0.00%,$0.20 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Jardin,3,0,0.00%,$0.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Jerico,1,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,La Ceja,11,0,0.00%,$0.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2,2,2,2,1,50.00%,$0.00 ,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,La Estrella,18,0,0.00%,$0.23 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,La Pradera,20,0,0.00%,$0.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,La Union,1,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Las Palmas,203,2,0.99%,$0.25 ,$0.03 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.04 ,$0.01 ,$0.05 ,1,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Los Naranjos,22,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Marinilla,6,0,0.00%,$0.20 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Medellin,1741,14,0.80%,$0.24 ,$0.03 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.38 ,$0.05 ,$0.42 ,183,117,102,90,76,41.53%,$0.01 ,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Montebello,1,0,0.00%,$0.28 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Necocli,3,0,0.00%,$0.27 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Puerto Berrio,7,0,0.00%,$0.21 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Rionegro,69,2,2.90%,$0.26 ,$0.01 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,1,1,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Sabaneta,83,0,0.00%,$0.24 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Salgar,2,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Salvador,48,0,0.00%,$0.21 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,San Antonio,7,0,0.00%,$0.23 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,San Antonio del Prado,17,0,0.00%,$0.20 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
